"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"5023","RT @vikrameffects: #YesBank @nsitharaman Is this crony capitalist  going to manage #Rafale jet ? Good luck to our defence forces in that ca…",FALSE,0,NA,2020-03-07 15:00:22,FALSE,NA,"1236305698134192128",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KhalidPat",19,TRUE,FALSE,NA,NA
"5024","RT @ShrimantSakal: Effects of Modinomics. MasterStroke to #YesBank https://t.co/6T6YPDH0Nr",FALSE,0,NA,2020-03-07 15:00:22,FALSE,NA,"1236305697937084416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anand_MorePatil",7,TRUE,FALSE,NA,NA
"5025","RT @SimplySimple_me: The end in bankrupt almost shouts corrupt.
#YesBank",FALSE,0,NA,2020-03-07 15:00:20,FALSE,NA,"1236305689871396864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nawaaban",1,TRUE,FALSE,NA,NA
"5026","RT @ManiSan52335150: Yes Bank's willful defaulters

Adani Group - 14,730 crore
Ambani Group - 14,330 crore
Vedanta Group - 11,000 crore abo…",FALSE,0,NA,2020-03-07 15:00:20,FALSE,NA,"1236305689321996288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dr_SJK",872,TRUE,FALSE,NA,NA
"5027","RT @PMNehru: Before anyone blames me, I would like to clarify that #YesBank was established in 2004. https://t.co/qV2w1QiMtf",FALSE,0,NA,2020-03-07 15:00:19,FALSE,NA,"1236305685895241733",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RishitDedhia",4498,TRUE,FALSE,NA,NA
"5028","@vindhyamalik Hi Vindhya, we regret the inconvenience. We are working towards improving the cash availability on a… https://t.co/vaO8Qn2Tq3",FALSE,0,"vindhyamalik",2020-03-07 15:00:16,TRUE,"1236304910171246592","1236305674822434818","52035197","<a href=""https://www.locobuzz.com"" rel=""nofollow"">LocoBuzz India</a>","YESBANK",0,FALSE,FALSE,NA,NA
"5029","RT @amamsshah: A message that Adani Gas consumers received on February 25, 2020. Did .@AdaniOnline know something about .@YESBANK that the…",FALSE,0,NA,2020-03-07 15:00:09,FALSE,NA,"1236305644006699009",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheRedSentinel",1077,TRUE,FALSE,NA,NA
"5030","RT @Siba_TNIE: The Sri Jagannath Temple Admn writes to Regional Director of @RBI to instruct #YesBank to transfer Rs 545 crore of the shrin…",FALSE,0,NA,2020-03-07 15:00:09,FALSE,NA,"1236305642953957376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","guptashivkr",6,TRUE,FALSE,NA,NA
"5031","RT @Sanju_Verma_: #YesBank was set up in 2003-04,with @INCIndia making regular phone calls to bankers like #RanaKapoor,to give loans to #Co…",FALSE,0,NA,2020-03-07 15:00:09,FALSE,NA,"1236305642131841025",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Abhishek3592",3890,TRUE,FALSE,NA,NA
"5032","RT @pbhushan1: Anil Ambani (of Rafale fame) &amp; Subhash Chandra (of Sudhir Chowdhury fame) were among the biggest dubious groups to whom larg…",FALSE,0,NA,2020-03-07 15:00:06,FALSE,NA,"1236305632040333312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","johan83280580",1752,TRUE,FALSE,NA,NA
